ID,join_date,YOB,education,martial_status,Income,Kidhome,Teenhome,Recency,Complain,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
9360,2012-08-08,1982-01-01,Graduation,Married,37040.0,0,0,41,0,4,2,5,8,86,2,73,69,38,48,1,0,0,0,0,0,0
5376,2013-01-06,1979-01-01,Graduation,Married,2447.0,1,0,42,0,0,28,0,1,1,1,1725,1,1,1,15,0,0,0,0,0,0
1993,2012-12-23,1949-01-01,PhD,Married,58607.0,0,1,63,0,2,3,9,8,867,0,86,0,0,19,3,0,0,0,1,0,0
4047,2014-01-11,1954-01-01,PhD,Married,65324.0,0,1,0,0,6,2,9,4,384,0,102,21,32,5,3,0,0,0,0,0,0
1409,2013-03-18,1951-01-01,Graduation,Together,40689.0,0,1,69,0,7,1,5,8,270,3,27,39,6,99,7,0,0,0,0,0,0
7892,2013-01-02,1969-01-01,Graduation,Single,18589.0,0,0,89,0,2,1,3,7,6,4,25,15,12,13,2,0,0,0,0,0,0
2404,2013-05-27,1976-01-01,Graduation,Married,53359.0,1,1,4,0,5,1,4,7,173,4,30,3,6,41,4,0,0,0,0,0,0
5255,2013-02-20,1986-01-01,Graduation,Single,0.0,1,0,19,0,27,0,0,1,5,1,3,3,263,362,0,0,0,0,0,0,0
9422,2013-05-31,1989-01-01,Graduation,Married,38360.0,1,0,26,0,2,1,4,3,36,2,42,20,21,10,2,0,0,0,0,0,0
1966,2013-11-22,1965-01-01,PhD,Married,84618.0,0,0,96,0,6,9,10,2,684,100,801,21,66,0,1,0,0,0,0,1,0
6864,2014-05-22,1989-01-01,Master,Divorced,10979.0,0,0,34,0,3,0,3,5,8,4,10,2,2,4,2,0,0,0,0,0,0
3033,2013-05-11,1963-01-01,Master,Together,38620.0,0,0,56,0,2,5,3,3,112,17,44,34,22,89,1,0,0,0,0,0,0
5710,2012-10-10,1970-01-01,Graduation,Together,40548.0,0,1,31,0,2,1,4,5,110,0,5,2,0,3,2,0,0,0,1,0,0
7373,2012-10-29,1952-01-01,PhD,Divorced,46610.0,0,2,8,0,4,1,6,6,96,12,96,33,22,43,6,0,0,0,0,0,1
8755,2013-02-20,1946-01-01,Master,Married,68657.0,0,0,4,0,3,5,9,7,482,34,471,119,68,22,1,0,0,0,0,0,0
10738,2013-08-29,1951-01-01,Master,Single,49389.0,1,1,55,0,2,0,3,7,40,0,19,2,1,3,1,0,0,0,0,0,0
4339,2013-12-31,1970-01-01,PhD,Married,67353.0,0,1,37,0,5,6,12,2,702,17,151,0,8,35,5,0,0,0,0,0,0
10755,2013-09-02,1976-01-01,2n Cycle,Married,23718.0,1,0,76,0,3,1,2,7,6,3,14,15,7,36,3,0,0,0,0,0,0
8595,2014-02-11,1973-01-01,Graduation,Widow,42429.0,0,1,99,0,1,1,3,5,55,0,6,2,0,4,2,0,0,0,0,0,0
2968,2013-02-01,1943-01-01,PhD,Divorced,48948.0,0,0,53,0,7,10,5,6,437,8,206,160,49,42,2,0,0,1,0,0,1
8601,2013-04-29,1980-01-01,Graduation,Married,80011.0,0,1,3,0,8,6,5,4,421,76,536,82,178,102,2,0,0,0,0,0,0
503,2013-03-12,1985-01-01,Master,Married,20559.0,1,0,88,0,2,0,3,8,13,1,29,3,0,7,2,0,0,0,0,0,0
8430,2012-12-24,1957-01-01,Graduation,Together,21994.0,0,1,4,0,0,0,3,5,9,0,6,3,1,3,1,0,0,0,0,0,0
7281,2013-11-05,1959-01-01,PhD,Single,0.0,0,0,80,0,1,3,4,2,81,11,50,3,2,39,1,0,0,0,0,0,0
2139,2013-10-02,1975-01-01,Master,Married,7500.0,1,0,19,0,2,0,3,5,3,1,10,3,2,12,3,0,0,0,0,0,0
1371,2014-06-28,1976-01-01,Graduation,Single,79941.0,0,0,72,0,2,4,9,1,123,164,266,227,30,174,1,0,0,0,0,0,0
9909,2012-11-09,1996-01-01,2n Cycle,Married,7500.0,0,0,24,0,3,1,3,9,3,18,14,15,22,50,3,0,0,0,0,0,1
7286,2013-05-24,1968-01-01,Graduation,Together,41728.0,1,0,92,0,2,0,2,10,13,6,15,3,5,13,1,0,0,0,0,0,0
7244,2014-01-01,1951-01-01,Graduation,Single,0.0,2,1,96,0,2,1,4,6,48,5,48,6,10,7,3,0,0,0,0,0,0
6566,2012-11-08,1954-01-01,PhD,Married,72550.0,1,1,39,0,5,2,12,8,826,50,317,50,38,38,9,0,0,0,0,0,0
8614,2014-05-12,1957-01-01,Graduation,Widow,65486.0,0,1,29,0,4,2,10,2,245,19,125,37,67,14,1,0,0,0,0,0,0
4114,2012-08-11,1964-01-01,Master,Married,79143.0,0,0,2,0,6,9,13,3,650,37,780,27,167,32,1,0,0,0,0,0,0
1331,2013-01-02,1977-01-01,Graduation,Single,35790.0,1,0,54,0,2,0,3,7,12,6,20,30,1,3,2,0,0,0,0,0,0
2225,2014-06-07,1977-01-01,Graduation,Divorced,82582.0,0,0,54,0,4,9,7,1,510,120,550,156,40,241,1,1,0,1,0,0,1
9381,2013-06-12,1978-01-01,Graduation,Married,66373.0,1,1,57,0,4,2,10,3,328,9,124,12,24,109,7,0,0,0,0,0,0
6260,2012-11-19,1955-01-01,Master,Together,82384.0,0,0,55,0,3,10,13,1,984,51,432,180,120,190,1,0,0,0,0,1,1
10383,2013-04-02,1966-01-01,Graduation,Divorced,70287.0,0,0,30,0,5,5,10,3,295,35,482,121,120,40,1,0,0,0,0,0,1
7437,2014-04-28,1988-01-01,Graduation,Single,27938.0,1,0,31,0,1,0,4,3,13,0,8,2,1,5,1,0,0,0,0,0,0
8557,2013-06-17,1982-01-01,Graduation,Single,0.0,1,0,57,0,2,0,3,6,11,3,22,2,2,6,2,0,0,0,0,0,0
8375,2014-03-03,1968-01-01,PhD,Married,55954.0,0,1,63,0,8,2,6,7,447,0,28,0,0,43,3,0,0,0,0,0,0
6853,2013-07-04,1982-01-01,Master,Single,75777.0,0,0,12,0,3,6,11,1,712,26,538,69,13,80,1,0,0,0,1,1,1
3076,2012-09-07,1975-01-01,Graduation,Together,66653.0,1,1,18,0,4,2,12,3,452,18,102,16,18,6,4,0,0,0,0,0,0
1012,2013-02-18,1952-01-01,Graduation,Single,61823.0,0,1,26,0,8,2,10,7,523,7,134,37,14,169,4,0,0,0,0,0,0
6518,2013-06-11,1951-01-01,PhD,Widow,67680.0,0,1,8,0,7,3,8,5,546,0,48,0,6,6,1,0,0,0,0,0,0
4137,2013-12-06,1948-01-01,Graduation,Together,70666.0,0,0,29,0,7,4,4,4,398,40,367,119,122,30,1,0,0,0,0,0,0
8082,2013-05-21,1971-01-01,Graduation,Married,25721.0,1,0,75,0,1,1,2,7,1,3,6,3,6,15,1,0,0,0,0,0,1
1386,2014-05-11,1967-01-01,Graduation,Together,32474.0,1,1,0,0,1,0,2,7,10,0,1,0,0,0,1,0,0,0,0,0,0
9369,2014-03-19,1979-01-01,2n Cycle,Single,88194.0,0,1,19,0,11,10,10,5,688,14,309,201,24,38,1,1,0,1,0,0,1
4477,2013-09-27,1958-01-01,Graduation,Together,69096.0,0,1,4,0,5,2,10,4,247,49,159,7,82,109,1,0,0,0,0,0,0
1357,2013-04-08,1970-01-01,Graduation,Together,74854.0,1,2,90,0,2,5,5,5,856,59,487,58,29,73,7,0,0,0,0,0,0
1402,2012-09-11,1954-01-01,Master,Married,66991.0,0,0,1,0,4,8,6,3,496,36,460,189,60,12,3,0,0,0,0,0,0
10629,2012-09-14,1973-01-01,2n Cycle,Married,0.0,1,0,25,0,3,0,3,8,25,3,43,17,4,17,3,0,0,0,0,0,0
6312,2013-03-17,1959-01-01,Graduation,Married,65031.0,0,1,29,0,10,3,13,7,258,107,291,84,37,86,4,0,0,0,0,0,0
8132,2013-04-05,1975-01-01,PhD,Married,60631.0,1,1,88,0,9,2,8,7,565,6,65,0,6,19,5,0,0,0,1,0,0
1050,2014-04-30,1952-01-01,Graduation,Married,28332.0,0,0,58,0,2,1,4,2,14,10,13,4,15,9,1,0,0,0,0,0,0
5846,2012-12-19,1977-01-01,Graduation,Divorced,40246.0,1,0,68,0,1,0,2,6,2,1,6,2,1,1,1,0,0,0,0,0,0
1859,2012-08-27,1972-01-01,Master,Married,75251.0,0,0,34,0,7,6,5,5,721,111,925,97,18,18,1,0,0,0,0,0,1
7503,2012-10-12,1976-01-01,Graduation,Single,75825.0,0,0,40,0,5,8,9,4,1032,105,779,137,105,51,0,0,0,1,0,0,1
10401,2013-09-04,1976-01-01,2n Cycle,Together,26326.0,0,0,12,1,0,0,3,3,1,0,5,0,3,9,1,0,0,0,0,0,0
1618,2013-01-02,1965-01-01,Graduation,Together,56046.0,0,0,9,0,10,1,8,8,577,0,64,0,0,51,2,0,0,1,0,0,1
3332,2012-08-29,1985-01-01,Graduation,Single,29760.0,1,0,87,0,3,1,4,8,64,4,68,7,5,17,4,0,0,0,0,0,0
2261,2013-06-23,1969-01-01,Graduation,Married,26304.0,1,0,5,0,1,0,2,7,4,1,5,2,0,4,1,0,0,0,0,0,0
5346,2013-07-03,1973-01-01,2n Cycle,Married,23559.0,1,0,87,0,3,0,3,7,25,5,19,7,0,23,3,0,0,0,0,0,0
4119,2013-05-11,1963-01-01,Master,Together,38620.0,0,0,56,0,2,5,3,3,112,17,44,34,22,89,1,0,0,0,0,0,0
535,2014-02-25,1987-01-01,Graduation,Divorced,81361.0,0,0,18,0,3,10,13,1,163,23,424,27,65,76,1,0,0,0,0,0,0
5268,2013-08-11,1960-01-01,Graduation,Married,29440.0,1,1,95,0,1,0,4,7,17,8,14,10,4,3,2,0,0,0,0,0,0
273,2013-07-16,1970-01-01,Master,Married,36138.0,1,1,48,0,3,1,4,7,130,0,16,0,0,5,5,0,0,0,1,0,0
4452,2014-05-28,1957-01-01,Graduation,Single,50388.0,0,1,3,0,6,1,6,7,292,6,37,0,3,34,4,1,0,0,1,0,1
8504,2014-05-12,1973-01-01,Graduation,Married,79593.0,0,0,70,0,5,6,7,2,350,60,568,110,133,145,1,0,0,0,0,1,0
771,2014-01-21,1967-01-01,Graduation,Together,54178.0,0,1,79,0,2,2,5,2,135,9,39,4,0,7,1,0,0,0,0,0,0
8996,2012-11-19,1957-01-01,PhD,Married,0.0,2,1,4,0,7,2,8,9,230,42,192,49,37,53,12,0,0,0,0,0,0
9235,2014-05-27,1957-01-01,Graduation,Single,0.0,1,1,45,0,1,0,2,7,7,0,8,2,0,1,1,0,0,0,0,0,0
5798,2013-11-23,1973-01-01,Master,Together,0.0,0,0,87,0,2,4,8,1,445,37,359,98,28,18,1,0,0,0,0,0,0
11178,2014-03-23,1972-01-01,Master,Single,42394.0,1,0,69,0,1,0,3,7,15,2,10,0,1,4,1,0,0,0,0,0,0
2230,2014-05-24,1970-01-01,PhD,Married,23626.0,1,0,84,0,3,1,3,5,27,2,14,0,0,0,3,0,0,0,0,0,0
7516,2014-05-22,1983-01-01,Graduation,Married,30096.0,1,0,30,0,2,0,3,6,5,3,11,12,5,9,1,0,0,0,0,0,0
7247,2012-11-22,1960-01-01,Graduation,Widow,47916.0,0,1,72,0,7,4,6,6,505,0,26,0,0,75,5,0,0,0,1,0,0
11100,2013-04-11,1972-01-01,Graduation,Divorced,51813.0,1,1,37,0,2,0,3,7,51,2,7,0,1,2,2,0,0,0,0,0,0
4646,2013-12-01,1951-01-01,2n Cycle,Married,78497.0,0,0,44,0,5,7,12,2,207,26,447,75,0,223,1,1,0,0,0,0,0
3037,2013-06-20,1983-01-01,PhD,Married,50150.0,0,0,32,0,5,2,7,5,135,46,92,65,61,11,2,0,0,0,0,0,0
1473,2013-07-23,1960-01-01,2n Cycle,Single,47823.0,0,1,0,0,2,0,3,8,53,1,5,2,1,10,2,0,0,0,0,0,0
1016,2014-03-30,1959-01-01,PhD,Single,34554.0,0,1,43,0,2,0,3,6,41,1,6,2,0,5,2,0,0,0,0,0,0
4518,2013-04-20,1979-01-01,Graduation,Together,85693.0,0,1,59,0,9,5,11,5,386,172,183,185,132,111,2,0,0,0,0,0,0
9370,2013-05-17,1945-01-01,PhD,Married,65846.0,0,0,68,0,6,3,6,4,562,81,276,80,40,81,1,0,0,0,0,0,0
8908,2014-05-08,1959-01-01,Graduation,Married,87195.0,0,0,35,0,3,11,5,1,217,76,690,50,26,38,1,0,0,0,0,0,1
8373,2013-12-10,1979-01-01,Basic,Together,24594.0,1,0,94,0,1,0,3,5,1,3,6,10,0,9,1,0,0,0,0,0,0
7533,2013-09-24,1964-01-01,Graduation,Married,49096.0,1,1,15,0,4,1,4,7,144,1,32,2,1,7,4,0,0,0,0,0,0
2683,2013-02-02,1969-01-01,Graduation,Married,52413.0,0,2,56,0,6,4,12,6,295,106,271,75,98,65,4,0,0,0,0,0,0
3629,2012-12-19,1978-01-01,Graduation,Single,38557.0,1,0,17,0,3,1,3,7,76,3,31,4,4,27,2,0,0,0,0,0,0
10991,2012-12-07,1960-01-01,Master,Married,89058.0,0,0,18,0,5,4,4,2,454,194,106,31,22,43,1,0,0,0,0,0,0
5077,2013-11-02,1979-01-01,Graduation,Together,77298.0,0,1,46,0,6,6,11,3,425,115,292,23,35,79,1,0,0,0,0,0,0
7431,2012-11-10,1991-01-01,PhD,Single,68126.0,0,0,40,0,7,4,5,9,1332,17,311,23,51,86,1,0,0,0,1,0,1
3267,2014-06-25,1963-01-01,Master,Together,57288.0,0,1,27,0,8,1,8,6,527,0,21,0,0,60,3,0,0,0,1,0,0
999,2013-01-02,1991-01-01,Graduation,Single,86037.0,0,0,95,0,6,7,11,3,490,44,125,29,20,22,1,0,0,0,1,1,1
9215,2012-12-12,1980-01-01,PhD,Married,43974.0,1,0,19,0,6,4,6,7,378,0,101,0,0,72,5,0,0,0,0,0,0
2286,2013-09-10,1962-01-01,Graduation,Single,50785.0,1,1,27,0,2,1,3,6,64,1,21,0,1,27,2,0,0,0,0,0,0
1592,2014-01-24,1970-01-01,Graduation,Married,90765.0,0,0,25,0,4,6,5,1,547,99,812,151,82,33,0,1,0,0,0,1,0
367,2013-02-19,1978-01-01,2n Cycle,Married,36550.0,1,0,74,0,9,1,5,9,47,90,94,123,103,120,5,0,0,0,0,0,0
5234,2013-07-11,1967-01-01,2n Cycle,Together,30753.0,1,1,85,0,1,1,3,5,12,5,25,0,9,30,2,0,0,0,0,0,0
9862,2013-11-14,1969-01-01,Graduation,Together,21918.0,1,0,37,0,2,0,3,6,1,6,7,11,5,3,2,0,0,0,0,0,0
9805,2013-06-20,1953-01-01,Master,Together,56129.0,0,1,65,0,6,2,10,4,320,48,133,39,72,48,4,0,0,0,0,0,0
6205,2014-02-24,1967-01-01,Master,Single,32557.0,1,0,13,0,2,1,3,5,34,3,29,0,4,10,3,0,0,0,0,0,1
8442,2013-09-04,1985-01-01,Master,Married,19510.0,2,0,63,0,1,0,3,7,9,0,7,3,4,7,2,0,0,0,0,0,0
7386,2013-04-22,1976-01-01,Graduation,Divorced,30992.0,1,0,83,0,1,0,3,7,17,0,14,7,3,2,1,0,0,0,0,0,0
7215,2013-03-12,1983-01-01,Graduation,Single,101970.0,0,0,69,0,6,8,13,2,722,27,102,44,72,168,0,1,0,0,1,1,1
1491,2013-02-18,1965-01-01,2n Cycle,Together,71488.0,0,0,87,0,3,4,7,1,162,33,124,40,28,172,2,0,0,0,0,0,0
11071,2013-04-21,1984-01-01,Graduation,Single,79607.0,0,0,37,0,3,6,6,1,450,133,951,173,0,216,1,0,0,0,0,0,1
3381,2014-06-08,1953-01-01,Master,Married,54348.0,1,1,51,0,2,0,4,6,70,0,16,0,0,4,2,0,0,0,0,0,0
8268,2013-07-11,1961-01-01,PhD,Married,0.0,0,1,23,0,6,1,7,6,352,0,27,10,0,15,3,0,0,0,0,0,0
11051,2014-05-10,1956-01-01,PhD,Together,77376.0,1,1,72,0,6,3,10,4,492,19,110,16,12,12,4,0,0,0,0,0,0
8026,2013-09-30,1952-01-01,Graduation,Married,62998.0,0,1,10,0,5,4,5,5,120,58,73,65,89,58,5,0,0,0,0,0,0
433,2013-03-10,1958-01-01,Master,Alone,61331.0,1,1,42,0,11,1,6,8,534,5,47,0,5,41,5,0,0,0,0,0,0
9597,2014-02-10,1969-01-01,Graduation,Married,73448.0,0,0,10,0,7,2,9,4,236,106,189,23,41,130,1,0,0,0,0,0,0
1295,2013-08-11,1963-01-01,Graduation,Married,0.0,0,1,96,0,6,5,7,4,231,65,196,38,71,124,1,0,0,0,0,0,0
5290,2013-08-14,1964-01-01,PhD,Married,41551.0,1,1,51,0,5,1,5,8,220,0,33,3,0,23,5,0,0,0,0,0,0
1685,2013-03-17,1967-01-01,PhD,Together,62981.0,0,0,21,0,4,5,13,3,796,14,590,38,44,0,1,0,0,0,1,0,0
5342,2012-08-08,1976-01-01,Basic,Divorced,9548.0,1,0,31,0,1,0,3,8,0,1,3,10,6,9,2,0,0,0,0,0,0
9579,2013-07-07,1959-01-01,PhD,Married,33762.0,2,1,61,0,2,2,2,8,53,1,34,2,0,16,3,0,0,0,0,0,0
7660,2014-05-19,1973-01-01,PhD,Alone,35860.0,1,1,37,0,1,1,2,5,15,0,8,4,2,20,2,0,0,1,0,0,1
1461,2013-07-28,1965-01-01,PhD,Divorced,36921.0,1,1,74,0,2,0,3,7,17,1,12,3,1,4,2,0,0,0,0,0,0
821,2012-10-19,1992-01-01,Master,Single,92859.0,0,0,46,0,5,4,12,2,962,61,921,52,61,20,1,0,0,0,0,0,0
11084,2013-11-14,1976-01-01,Master,Together,65104.0,0,1,4,0,3,5,7,7,738,0,232,13,20,50,2,0,0,0,0,0,1
8690,2013-04-19,1962-01-01,Graduation,Married,86111.0,0,0,73,0,5,7,10,2,399,28,756,36,40,126,1,0,0,0,0,0,0
2937,2013-08-28,1974-01-01,PhD,Single,68352.0,0,1,47,0,8,5,9,6,614,16,132,43,33,33,3,0,0,0,0,0,0
9701,2013-03-19,1988-01-01,Graduation,Together,41883.0,1,0,13,0,4,2,3,7,32,34,41,73,16,116,3,0,0,0,0,0,0
9949,2012-10-18,1976-01-01,Graduation,Married,59809.0,0,2,36,0,3,3,6,8,598,16,141,32,41,49,3,0,0,0,0,0,0
10837,2012-10-28,1975-01-01,Graduation,Married,23957.0,1,0,47,0,2,0,3,6,2,1,18,20,11,16,1,0,0,0,0,0,1
3120,2013-08-28,1981-01-01,Graduation,Together,38547.0,1,0,49,1,1,0,2,8,6,1,10,0,1,4,1,0,0,0,0,0,0
5885,2012-08-22,1973-01-01,2n Cycle,Married,35688.0,2,1,94,0,4,1,4,8,73,3,90,12,1,32,7,0,0,0,0,0,0
4050,2014-06-21,1966-01-01,Master,Married,49605.0,0,0,65,0,2,1,4,3,42,16,29,12,20,8,1,0,0,0,0,0,0
3830,2014-04-24,1953-01-01,Master,Married,59354.0,0,2,59,0,4,4,7,3,295,21,78,39,13,13,1,0,0,0,0,0,0
7987,2014-03-07,1969-01-01,Graduation,Married,65747.0,0,1,96,0,8,1,6,6,346,17,48,23,13,13,4,0,0,0,1,0,0
7798,2012-12-14,1972-01-01,2n Cycle,Together,46344.0,0,1,28,0,7,1,5,7,233,20,57,8,20,91,4,0,0,0,0,0,0
92,2014-05-12,1988-01-01,Graduation,Alone,34176.0,1,0,12,0,3,0,4,6,5,7,24,19,14,20,4,0,0,0,0,0,0
7055,2012-10-09,1952-01-01,PhD,Together,61010.0,0,1,57,0,8,5,11,5,888,0,57,0,0,76,2,0,0,0,0,0,0
10240,2013-02-19,1949-01-01,Graduation,Together,69372.0,0,0,10,0,10,4,6,4,997,26,269,34,13,42,1,0,0,0,1,1,1
3025,2013-07-08,1958-01-01,Graduation,Single,49967.0,0,1,4,0,6,1,5,7,212,6,69,4,12,3,3,0,0,0,0,0,0
9283,2013-09-12,1978-01-01,Graduation,Single,60199.0,1,2,49,0,0,0,3,4,8,1,7,2,0,0,1,0,0,0,0,0,0
9970,2013-10-17,1977-01-01,Graduation,Together,55375.0,0,1,3,0,1,1,6,2,42,11,57,10,28,14,1,0,0,0,0,0,0
2730,2013-08-20,1955-01-01,Graduation,Single,80317.0,0,0,64,0,3,4,10,1,536,11,387,149,91,57,1,0,0,0,0,0,0
2795,2013-07-01,1958-01-01,Master,Single,30523.0,2,1,0,0,1,0,2,7,5,0,3,0,0,5,1,0,0,0,0,0,0
9260,2012-11-05,1945-01-01,PhD,Married,70356.0,0,0,20,0,10,6,9,6,1349,16,249,43,16,33,2,0,0,0,0,0,0
8182,2014-01-05,1984-01-01,Graduation,Married,23228.0,1,0,91,0,3,0,4,8,53,3,49,7,4,5,4,0,0,0,0,0,0
10095,2013-05-01,1975-01-01,PhD,Divorced,74165.0,0,0,9,0,5,4,10,2,1001,12,240,16,12,12,1,0,0,0,0,0,0
8475,2014-03-01,1973-01-01,PhD,Married,157243.0,0,1,98,0,0,22,0,0,20,2,1582,1,2,1,15,0,0,0,0,0,0
4370,2013-11-13,1966-01-01,Graduation,Together,43482.0,2,1,83,0,2,0,4,6,18,1,32,6,3,28,3,0,0,0,0,0,0
10573,2013-11-18,1953-01-01,Graduation,Divorced,62551.0,0,0,27,0,6,7,4,3,125,16,98,134,21,27,1,0,0,1,0,0,0
3712,2013-08-28,1959-01-01,Graduation,Divorced,52332.0,0,0,63,0,3,2,6,4,212,5,33,7,0,2,1,0,0,0,1,0,0
6637,2013-11-02,1988-01-01,Graduation,Single,66951.0,0,0,46,0,3,4,7,1,277,162,305,173,76,124,1,0,0,0,0,0,0
3152,2014-02-25,1957-01-01,Graduation,Together,26091.0,1,1,84,0,2,1,3,5,15,10,19,8,17,20,3,0,0,0,0,0,0
5610,2014-04-21,1965-01-01,Graduation,Together,33456.0,1,1,58,0,1,0,3,7,7,3,10,8,1,7,2,0,0,0,0,0,0
6460,2013-07-13,1982-01-01,Graduation,Married,28718.0,1,0,78,0,2,0,3,8,12,4,6,11,8,16,2,0,0,0,0,0,0
1349,2014-04-21,1970-01-01,Graduation,Married,50447.0,2,0,4,0,3,1,3,6,85,7,24,2,3,27,1,0,0,0,0,0,0
1880,2014-01-30,1959-01-01,PhD,Together,53537.0,1,1,17,0,2,1,3,5,81,0,6,0,0,6,2,0,0,0,0,0,0
641,2014-04-04,1967-01-01,Graduation,Single,52074.0,0,1,77,0,2,2,2,4,59,0,12,0,0,48,1,0,0,1,0,0,0
8717,2012-09-12,1975-01-01,PhD,Married,80427.0,0,1,56,0,11,8,8,5,1149,71,449,69,71,26,1,0,0,0,0,0,0
10314,2012-12-16,1948-01-01,PhD,Married,83837.0,0,0,79,0,9,10,5,4,847,66,119,86,89,111,1,1,0,0,1,0,1
10854,2014-05-23,1970-01-01,PhD,Married,38853.0,1,1,90,0,2,0,3,7,29,0,14,0,0,2,2,0,0,0,0,0,0
10492,2014-06-24,1959-01-01,Graduation,Together,38285.0,2,1,96,0,0,0,3,2,2,0,5,2,0,1,1,0,0,0,0,0,0
6935,2013-12-01,1951-01-01,2n Cycle,Married,78497.0,0,0,44,0,5,7,12,2,207,26,447,75,0,223,1,1,0,0,0,0,0
7698,2014-05-11,1976-01-01,PhD,Married,51650.0,0,1,81,0,4,1,4,5,152,3,22,2,5,7,1,0,0,0,0,0,0
3559,2014-05-10,1988-01-01,2n Cycle,Married,16248.0,1,0,77,0,2,1,3,6,12,11,10,3,12,9,3,0,0,0,0,0,0
10562,2013-09-28,1946-01-01,Master,Married,66835.0,0,0,21,0,6,4,13,2,620,26,195,34,17,141,1,0,0,0,0,0,0
10796,2014-01-22,1984-01-01,Master,Married,30477.0,1,0,16,0,1,1,3,6,47,1,6,0,0,12,1,0,0,0,0,0,0
2563,2014-06-15,1961-01-01,Basic,Married,28249.0,0,0,80,0,2,0,3,6,1,9,7,2,14,10,1,0,0,0,0,0,0
3518,2012-12-05,1983-01-01,Graduation,Married,25271.0,1,0,45,0,1,1,2,9,10,1,18,10,4,7,1,0,0,0,0,0,0
5823,2014-03-08,1970-01-01,PhD,Single,32303.0,0,1,63,0,1,0,4,5,35,0,2,0,0,2,2,0,0,0,0,0,0
3934,2013-08-02,1966-01-01,Graduation,Married,61286.0,0,1,34,0,7,1,8,5,356,0,107,19,9,117,2,0,0,0,0,0,0
6982,2013-03-19,1976-01-01,Graduation,Married,74068.0,0,0,14,0,4,10,9,2,783,30,537,140,76,15,1,0,0,0,0,0,0
