ID,martial_status,Teenhome
10307,Married,2
9166,Married,1
7129,Married,1
10521,Married,1
332,Married,1
9847,Married,1
9931,Married,1
4609,Married,1
1459,Married,1
7505,Married,1
10789,Married,1
10951,Married,1
17,Married,1
5831,Married,1
3283,Married,1
10872,Married,1
1518,Married,1
5734,Married,1
2878,Married,1
6200,Married,1
9291,Married,1
2495,Married,1
2162,Married,1
8925,Married,1
6355,Married,1
9507,Married,1
8360,Married,1
10311,Married,1
4470,Married,1
10821,Married,1
9797,Married,1
8212,Married,1
7181,Married,1
3599,Married,1
4102,Married,1
4954,Married,1
7861,Married,1
4837,Married,1
3799,Married,1
4786,Married,1
4268,Married,1
626,Married,1
10061,Married,1
10897,Married,1
7899,Married,1
2712,Married,1
5079,Married,1
6497,Married,1
1052,Married,1
6343,Married,1
7901,Married,1
11031,Married,1
3422,Married,1
1055,Married,1
2909,Married,1
6183,Married,1
5991,Married,1
1916,Married,1
7532,Married,1
4915,Married,1
2493,Married,1
10127,Married,1
9216,Married,1
10609,Married,1
6950,Married,1
5186,Married,1
5667,Married,1
6721,Married,1
2829,Married,1
4377,Married,1
8858,Married,1
8207,Married,1
9723,Married,1
2666,Married,1
7118,Married,1
2632,Married,1
9014,Married,1
2736,Married,1
1092,Married,1
9303,Married,1
6261,Married,1
1448,Married,2
4478,Married,1
10870,Married,1
9405,Married,1
